S0,S101,S110,S111,S102,S103,S104,S105,S200,S201,S300,S600,S601,S602,S604,S701,S702,S704,S800,S801,S802,S900,S1100,S1400,S1500,S1501,S1502,S1001,S113,S114,S106,S107,S202
42683.1328887153,2088,2099.48291015625,83,0,12.4799213409424,0,1.05597269535065,32.4170852661133,36.439,140.140752197886,1.19623385038376,1.19623385038376,1.126574687,1.12469486713409,1.38647,1.5234,0.79249,30.4108420944214,30.4108420944214,,31.3816,,,,,,32.4115700762214,,,126.212212796655,0.475389811100675,4.03247666931152
42683.133027338,2088.4,2099.48291015625,83,0,12.0769138336182,0.0732772871851921,1.04075872898102,32.5211624145508,36.439,137.056334083689,1.19623244053163,1.19623244053163,1.126574687,1.12459022818871,1.3843820754717,1.5208820754717,0.799702830188679,30.4175670911681,30.4175670911681,,31.3833962264151,,,,,,32.4057808295382,,,121.162226199572,0.495203842666041,3.95983368841207
42683.1331639236,2088.8,2099.48291015625,83,0,11.6739063262939,0,1.0583735704422,32.128337097168,36.439,137.80475230477,1.19623036958034,1.19623036958034,1.126574687,1.12448589240803,1.38280882352941,1.51630882352941,0.807941176470589,30.431645599066,30.431645599066,,31.3911764705882,,,,,,32.4024868574808,,,122.969243437354,0.487926885803493,4.08532982740215
42683.1334692824,2089.2,2099.48291015625,83,0,11.2782030105591,0.0732772871851921,1.11972439289093,34.2700424194336,36.439,136.508841365692,1.19622610677933,1.19622610677933,1.126574687,1.12438230884486,1.37892025862069,1.51465948275862,0.811997844827586,30.4375638304086,30.4375638304086,,31.395,,,,,,32.4003215272302,,,53.9938589058644,1.11123748544454,2.77918036414837
42683.133613044,2089.6,2099.48291015625,83,0,10.8751564025879,0.0732772871851921,1.13554608821869,33.4976844787598,36.439,133.45464933804,1.19622196399804,1.19622196399804,1.126574687,1.12431604645469,1.37776818181818,1.51001363636364,0.820340909090909,30.4508076407693,30.4508076407693,,31.4029090909091,,,,,,32.3939665003651,,,116.831174729565,0.513561556997823,2.72719838090376
42683.133759537,2090,2099.48291015625,83,0,10.479453086853,0.0732772871851921,1.15466034412384,32.0952491760254,36.439,136.442375888669,1.19621923047124,1.19621923047124,1.126574687,1.12428932840174,1.37350909090909,1.50935454545455,0.826531818181818,30.4487813082608,30.4487813082608,,31.4078181818182,,,,,,32.3791961361426,,,112.491113014912,0.533375467554012,3.65935100763494
42683.1339433681,2090.4,2099.48291015625,83,0,10.0764446258545,0,1.16608726978302,32.2582778930664,36.439,145.372110067717,1.1962167390074,1.1962167390074,1.126574687,1.12426741293498,1.37406071428571,1.50549285714286,0.833285714285714,30.4498512540545,30.4498512540545,,31.4095714285715,,,,,,32.3595682353921,,,91.3656103105788,0.656702229603045,4.3619178074428
42683.134282037,2090.8,2099.48291015625,83,0,9.67343711853027,0,1.11986672878265,33.7516593933105,36.439,147.612694000461,1.1962150535103,1.1962150535103,1.126574687,1.12423590079759,1.3693023255814,1.5028488372093,0.839058139534884,30.4537017289982,30.4537017289982,,31.4152713178295,,,,,,32.4037010897564,,,49.5936574998792,1.20983212420149,2.51352615545702
42683.1344930903,2091.2,2099.48291015625,83,0,9.27773380279541,0.0732772871851921,1.09296119213104,32.0927276611328,36.439,143.043544444017,1.19621147915721,1.19621147915721,1.126574687,1.1242223456502,1.3673875,1.4967875,0.848481249999999,30.4548443317413,30.4548443317413,,31.4285,,,,,,32.3849748127732,,,78.1200974570105,0.768048196983088,3.26596611404419
42683.1347983565,2091.6,2099.48291015625,83,0,8.87468719482422,0,1.05600678920746,33.3250274658203,36.439,148.610464638649,1.1962090623139,1.1962090623139,1.126574687,1.12421098659778,1.36511637931035,1.49365517241379,0.850340517241379,30.4665296324368,30.4665296324368,,31.4379310344828,,,,,,32.3892670152426,,,54.9929865257076,1.09104821888427,3.82688258782748
42683.1350228241,2092,2099.48291015625,83,0,8.47898387908936,0.0732772871851921,1.04224359989166,33.9705894470215,36.439,142.895250439735,1.19620467666046,1.19620467666046,1.126574687,1.12419953457145,1.35909011627907,1.49078197674419,0.857572674418605,30.4776541465937,30.4776541465937,,31.4463953488372,,,,,,32.3836133878773,,,73.4515829978399,0.816864627706724,2.70919795262536
42683.135180706,2092.4,2099.48291015625,83,0,8.07597637176514,0.0732772871851921,1.06544625759125,32.9286598205566,36.439,137.03715986675,1.19620188254421,1.19620188254421,1.126574687,1.12419253890797,1.35674576271186,1.48743220338983,0.864118644067797,30.4825952820859,30.4825952820859,,31.4503389830509,,,,,,32.3758587565183,,,106.382226200893,0.564003989601566,2.99413235835706
42683.135374838,2092.8,2099.48291015625,83,0,7.67296838760376,0,1.09543454647064,31.8682029724121,36.439,140.600532141553,1.19619944424243,1.19619944424243,1.126574687,1.12418991649473,1.35627702702703,1.48689864864865,0.866895270270269,30.4883447337795,30.4883447337795,,31.4608108108108,,,,,,32.3800182734471,,,86.5176185073884,0.693500364840441,4.28478313054265
42683.1356271644,2093.2,2099.48291015625,83,0,7.27726554870605,0.0732772871851921,1.13166677951813,32.2238059997559,36.439,140.314370629628,1.19619614312218,1.19619614312218,1.126574687,1.12418357282877,1.35111979166667,1.4828671875,0.875825520833333,30.5019244154294,30.5019244154294,,31.4721875,,,,,,32.3838266605511,,,65.341956456053,0.918246150776862,4.36962307039897
42683.1358656481,2093.6,2099.48291015625,83,0,6.86691379547119,0,1.16342389583588,32.1611671447754,36.439,138.775276496124,1.19619262324439,1.19619262324439,1.126574687,1.12419339815776,1.34978888888889,1.48051388888889,0.879877777777778,30.5200756920709,30.5200756920709,,31.4773333333333,,,,,,32.3994364851278,,,71.6680425748389,0.837193229288289,4.19287831793891
42683.1360786458,2094,2099.48291015625,83,0,6.478515625,0,1.15379011631012,32.750057220459,36.439,140.475727019475,1.1961893026868,1.1961893026868,1.126574687,1.12419530638942,1.34745987654321,1.47552469135802,0.879845679012345,30.5230982274185,30.5230982274185,,31.4833333333333,,,,,,32.4111414231826,,,75.9789163351763,0.789692758124026,3.87039091774269
42683.1362618403,2094.4,2099.48291015625,83,0,6.07550764083862,0,1.12877118587494,32.3227607727051,36.439,137.605608481615,1.19618645591395,1.19618645591395,1.126574687,1.12419438362122,1.34467142857143,1.47201428571429,0.887907142857143,30.5295951570783,30.5295951570783,,31.4925714285714,,,,,,32.4148893426573,,,91.6830922559663,0.654428188705595,3.95324073355539
42683.1364420949,2094.8,2099.48291015625,83,0,5.67980432510376,0,1.10550606250763,32.6012084960937,36.439,137.933280249816,1.19618200364066,1.19618200364066,1.126574687,1.12417540830724,1.34061397058824,1.47033088235294,0.895073529411764,30.5346089811886,30.5346089811886,,31.4970588235294,,,,,,32.39143064699,,,91.4678334179356,0.655968308835386,3.98217947836483
42683.1366110069,2095.2,2099.48291015625,83,0,5.27679681777954,0.0732772871851921,1.08977663516998,32.2700416564941,36.439,141.310483988805,1.19617903268643,1.19617903268643,1.126574687,1.12420065953181,1.34106538461538,1.47028846153846,0.897080769230769,30.5387348468487,30.5387348468487,,31.5024615384615,,,,,,32.3940205527848,,,99.4353826878515,0.603406940046206,3.93437666907677
42683.1367545486,2095.6,2099.48291015625,83,0,4.87374973297119,0.0732772871851921,1.08053481578827,31.8995590209961,36.439,139.879999294947,1.19617675291167,1.19617675291167,1.126574687,1.12417912483215,1.34281944444444,1.46716666666667,0.898708333333333,30.5385234974049,30.5385234974049,,31.5022222222222,,,,,,32.4001149631123,,,116.923073641479,0.513157909139286,4.35488086728697
42683.1368981829,2096,2099.48291015625,83,0,4.47804689407349,0,1.07058465480804,32.0890068054199,36.439,140.844874497343,1.19617471010035,1.19617471010035,1.126574687,1.12419196042148,1.33736818181818,1.46646818181818,0.904372727272727,30.5397125244141,30.5397125244141,,31.5123636363636,,,,,,32.386756988618,,,114.817084598852,0.522570314423397,4.44781784612482
42683.1372087037,2096.4,2099.48291015625,83,0,4.07503890991211,0,1.03985035419464,34.1654441833496,36.439,148.014551977387,1.19617298649529,1.19617298649529,1.126574687,1.12418446298373,1.33322881355932,1.46323093220339,0.913131355932203,30.5472720194671,30.5472720194671,,31.5183050847458,,,,,,32.3729962228209,,,54.0892322634955,1.10927808528896,4.1365808547715
